#NAME?	#NAME?
(1) (Japanese) maple	(1) (ஜப்பானிய) மேப்பிள்
What's your name?	உங்கள் பெயர் என்ன?
What's your number?	உங்கள் எண் என்ன?
When I arrive at work, I'll call.	வேலைக்கு வந்ததும் கூப்பிடுவேன்.
When I arrived, the train had already left.	நான் வரும்போது ரயில் புறப்பட்டு விட்டது.
When I buy new shoes, I'll wear them.	நான் புதிய காலணிகள் வாங்கும் போது, ​​நான் அவற்றை அணிவேன்.
When I was a student, I lived in Japan.	நான் மாணவனாக இருந்தபோது, ​​ஜப்பானில் வாழ்ந்தேன்.
When I was young, I would play outside.	சிறுவயதில் வெளியில் விளையாடுவேன்.
When are you free?	நீங்கள் எப்போது சுதந்திரமாக இருக்கிறீர்கள்?
When are you going to leave?	நீங்கள் எப்போது புறப்படப் போகிறீர்கள்?
When did he leave?	அவர் எப்போது கிளம்பினார்?
When did the show start?	நிகழ்ச்சி எப்போது தொடங்கியது?
When did you arrive?	நீங்கள் எப்போது வந்தீர்கள்?
When does the train leave?	ரயில் எப்போது புறப்படும்?
When is the meeting?	கூட்டம் எப்போது?
When is the next train?	அடுத்த ரயில் எப்போது?
When is your birthday?	உங்கள் பிறந்த நாள் எப்போது?
When it rains, I open an umbrella.	மழை பெய்யும்போது, ​​நான் ஒரு குடையைத் திறக்கிறேன்.
