வணக்கம் நண்பரே	Hello friend
அவர் வெளிநாட்டு மனிதர்	He is a foreign man
வெளிநாட்டு மொழிகள் கற்றுக்கொள்ளுங்கள்	Learn foreign languages
நகரத்தை ஆராயுங்கள்	Explore the city
காட்டை ஆராயுங்கள்	Explore the forest
அவர் சென்னைக்கு வருகை தந்தார்	He paid a visit to Chennai
அவர்களின் வருகை மகிழ்ச்சி அளித்தது	Their visit gave happiness
இது ஒரு நல்ல அனுபவம்	This is a good experience
பயணம் ஒரு சிறந்த அனுபவம்	Journey is a great experience
இந்த சூழல் மிக அழகாக உள்ளது	This environment is very beautiful
நல்ல சூழல் ஆரோக்கியத்திற்கு நல்லது	A good environment is good for health
மாசுபாடு ஒரு பெரிய பிரச்சனை	Pollution is a big problem
