ನಮಸ್ಕಾರ, ನೀವು ಹೇಗಿದ್ದೀರಾ?	Hello, how are you?
ವಿಮಾನ ದೊಡ್ಡದು	The airplane is big
ವಿಮಾನ ಬಂದಿತು	The airplane came
ದೋಣಿ ನೀರಿನಲ್ಲಿದೆ	The boat is in the water
ದೋಣಿ ಸಣ್ಣದು	The boat is small
ಹಡಗು ಸಮುದ್ರದಲ್ಲಿದೆ	The ship is in the sea
ದೊಡ್ಡ ಹಡಗು ಬಂದಿದೆ	A big ship has come
ಮೆಟ್ರೋ ವೇಗವಾಗಿದೆ	The metro is fast
ನಾನು ಮೆಟ್ರೋಗೆ ಹೋಗುವೆ	I go to the metro
ಟಿಕೆಟ್ ಎಲ್ಲಿದೆ?	Where is the ticket?
ಟಿಕೆಟ್ ತೆಗೆದುಕೊಳ್ಳಿ	Take the ticket
ಇದು ಬಸ್ ನಿಲ್ದಾಣ	This is a bus station
ವೇದಿಕೆ ಮೇಲೆ ನಿಲ್ಲಿ	Stand on the platform
ಅದು ಎರಡನೇ ವೇದಿಕೆ	That is the second platform
ಪ್ರಯಾಣ ಸುಖಕರವಾಗಿರಲಿ	Let the journey be pleasant
ಪ್ರಯಾಣ ಶುರುವಾಯಿತು	The journey started
ನಮ್ಮ ಪ್ರವಾಸ ಚೆನ್ನಾಗಿತ್ತು	Our trip was good
ಇಂದು ಪ್ರವಾಸ ಇದೆ	There is a trip today
ಚಾಲಕ ಬಂದಿದ್ದಾರೆ	The driver has come
ಚಾಲಕ ಯಾರು?	Who is the driver?
ಪ್ರಯಾಣಿಕರು ಕಾಯುತ್ತಿದ್ದಾರೆ	The passengers are waiting
ಪ್ರಯಾಣಿಕರು ಹೆಚ್ಚಾಗಿದ್ದಾರೆ	The passengers have increased
ಇಂದು ಟ್ರಾಫಿಕ್ ಜಾಮ್ ಇದೆ	There is a traffic jam today
ಟ್ರಾಫಿಕ್ ಜಾಮ್ ದೊಡ್ಡದಾಗಿದೆ	The traffic jam is big
ಮಾರ್ಗ ಸರಳವಾಗಿದೆ	The route is simple
ಸರಿಯಾದ ಮಾರ್ಗ ಯಾವುದು?	Which is the correct route?
ನಕ್ಷೆ ನೋಡಿ	Look at the map
ನಕ್ಷೆ ಇಲ್ಲಿದೆ	The map is here
ಚಾಲನೆ ನಿಲ್ಲಿಸಿ	Stop the drive
ಚಾಲನೆ ಆರಂಭಿಸಿ	Start the drive
ಸವಾರಿ ಮಾಡು	Go for a ride
ಬೈಕ್ ಸವಾರಿ ಚೆನ್ನಾಗಿದೆ	The bike ride is good
ಪಕ್ಷಿಗಳು ಹಾರುತ್ತವೆ	Birds fly
ವಿಮಾನಗಳು ಹಾರುತ್ತವೆ	Planes fly
ಬಸ್ ಹಿಡಿಯಿರಿ	Catch the bus
ಬೇಗ ಬಸ್ ಹಿಡಿಯಿರಿ	Catch the bus quickly
ಅವನು ಬಸ್ ಮಿಸ್ ಮಾಡಿದನು	He missed the bus
ನಾನು ರೈಲು ಮಿಸ್ ಮಾಡಿದೆ	I missed the train
ಅವರು ಆಗಮಿಸುತ್ತಾರೆ	They arrive
ಅತಿಥಿಗಳು ಆಗಮಿಸುತ್ತಾರೆ	The guests arrive
ರೈಲು ನಿರ್ಗಮಿಸುತ್ತದೆ	The train departs
ವಿಮಾನ ಈಗ ನಿರ್ಗಮಿಸುತ್ತದೆ	The plane departs now
ಬಸ್ ವಿಳಂಬವಾಗಿದೆ	The bus is delayed
ವಿಳಂಬ ಮಾಡಬೇಡಿ	Do not delay
ವೇಳಾಪಟ್ಟಿ ನೋಡಿ	Look at the schedule
ವೇಳಾಪಟ್ಟಿ ಸರಿಯಾಗಿದೆ	The schedule is correct
ನನ್ನ ವೃತ್ತಿ ಉತ್ತಮವಾಗಿದೆ	My career is good
ವೃತ್ತಿ ಆಯ್ಕೆ ಮಾಡು	Choose a career
ಅವನಿಗೆ ಒಳ್ಳೆಯ ಅನುಭವ ಇದೆ	He has good experience
ನನಗೆ ಈ ಅನುಭವ ಬೇಕು	I want this experience
ಸಂದರ್ಶನ ನಾಳೆ ನಡೆಯುತ್ತದೆ	The interview happens tomorrow
ಸಂದರ್ಶನ ಹೇಗಿತ್ತು?	How was the interview?
ಸಂಬಳ ಎಷ್ಟು?	How much is the salary?
ನನ್ನ ಸಂಬಳ ಹೆಚ್ಚಾಯಿತು	My salary increased
ಕೂಲಿ ಎಷ್ಟು ನೀಡಬೇಕು?	How much wage should be given?
ದಿನದ ಕೂಲಿ ನೀಡು	Give the daily wage
ಮ್ಯಾನೇಜರ್ ಎಲ್ಲಿದ್ದಾರೆ?	Where is the manager?
ಅವರು ಒಳ್ಳೆಯ ಮ್ಯಾನೇಜರ್	They are a good manager
ನನ್ನ ಸಹೋದ್ಯೋಗಿ ಸಹಾಯ ಮಾಡಿದರು	My colleague helped
ಸಹೋದ್ಯೋಗಿ ಜೊತೆ ಮಾತನಾಡು	Talk with the colleague
ಸಭೆ ಈಗ ಶುರುವಾಯಿತು	The meeting started now
ಸಭೆ ಯಾವಾಗ ಮುಗಿಯುತ್ತದೆ?	When will the meeting end?
ಈ ಯೋಜನೆ ದೊಡ್ಡದು	This project is big
ಹೊಸ ಯೋಜನೆ ಶುರುವಾಯಿತು	The new project started
ಗಡುವು ಹತ್ತಿರ ಬಂದಿದೆ	The deadline has come close
ಗಡುವು ಯಾವಾಗ?	When is the deadline?
ಅವಳಿಗೆ ಪ್ರಚಾರ ಸಿಕ್ಕಿತು	She got a promotion
ಪ್ರಚಾರ ಬೇಕು	Want a promotion
ಕಾರನ್ನು ಬಾಡಿಗೆಗೆ ತಗೆಯಿರಿ	Take the car for hire
ಮನೆಯನ್ನು ಬಾಡಿಗೆಗೆ ಕೊಡಿ	Give the house for hire
ಅರ್ಜಿಯನ್ನು ಅನ್ವಯಿಸು	Apply the application
ಇದು ಇಲ್ಲಿಗೆ ಅನ್ವಯಿಸು	Apply this here
ತರಬೇತಿ ತುಂಬಾ ಉಪಯುಕ್ತ	Training is very useful
ತರಬೇತಿ ಯಾವಾಗ ಶುರುವಾಗುತ್ತದೆ?	When does training start?
ಕೌಶಲ್ಯ ಬೆಳೆಸಿಕೊಳ್ಳಿ	Develop the skill
ಅವನಿಗೆ ಸಂಗೀತದ ಕೌಶಲ್ಯ ಇದೆ	He has a skill in music
ಕಂಪ್ಯೂಟರನ್ನು ಪುನರಾರಂಭಿಸಿ	Restart the computer
ದಯವಿಟ್ಟು ಪುನರಾರಂಭಿಸಿ	Please restart
ಬಾಸ್ ಬಂದಿದ್ದಾರೆ	The boss has come
ನನ್ನ ಬಾಸ್ ಕಠಿಣವಾಗಿರುತ್ತಾರೆ	My boss is strict
ಈ ಕಾರ್ಯ ಮುಗಿಸಿ	Finish this task
ಅದು ಕಠಿಣ ಕಾರ್ಯ	That is a difficult task
ಇದು ನನ್ನ ಜವಾಬ್ದಾರಿ	This is my responsibility
ಜವಾಬ್ದಾರಿ ಸರಿಯಾಗಿ ನಿರ್ವಹಿಸು	Handle the responsibility correctly
ಗ್ರಾಹಕ ಬಂದಿದ್ದಾರೆ	The customer has come
ಗ್ರಾಹಕ ಸಂತೋಷವಾಗಿದ್ದಾರೆ	The customer is happy
ಗ್ರಾಹಕ ಜೊತೆ ಮಾತನಾಡು	Talk to the client
ಹೊಸ ಗ್ರಾಹಕ ಬಂದಿದ್ದಾರೆ	A new client has come
ಕೆಲಸದ ಸ್ಥಳ ಸ್ವಚ್ಛವಾಗಿದೆ	The workplace is clean
ನನ್ನ ಕೆಲಸದ ಸ್ಥಳ ದೂರವಿದೆ	My workplace is far
ಅವರು ನಿವೃತ್ತಿ ಪಡೆದರು	They retired
ನಿವೃತ್ತಿ ನಂತರ ಏನು?	What after retirement?
ಇದು ದೊಡ್ಡ ಸಾಧನೆ	This is a big achievement
ಅವನ ಸಾಧನೆ ಅದ್ಭುತ	His achievement is wonderful
ಅವನು ಒಳ್ಳೆಯ ಉದ್ಯೋಗಿ	He is a good employee
ಹೊಸ ಉದ್ಯೋಗಿ ಬಂದಿದ್ದಾರೆ	A new employee has come
ಉದ್ಯೋಗದಾತ ಯಾರು?	Who is the employer?
ಉದ್ಯೋಗದಾತ ನ್ಯಾಯವಾಗಿರಬೇಕು	The employer should be fair
ಇದು ಒಳ್ಳೆಯ ಅವಕಾಶ	This is a good opportunity
ಅವಕಾಶವನ್ನು ಬಳಸಿಕೊಳ್ಳಿ	Use the opportunity
ಈ ವಿಷಯ ಆಸಕ್ತಿದಾಯಕವಾಗಿದೆ	This subject is interesting
ಪರೀಕ್ಷೆ ನಾಳೆ ನಡೆಯುತ್ತದೆ	The exam happens tomorrow
ಪರೀಕ್ಷೆ ತುಂಬಾ ಕಠಿಣವಾಗಿತ್ತು	The exam was very difficult
ಈ ಕೋರ್ಸ್ ತುಂಬಾ ಉಪಯುಕ್ತ	This course is very useful
ನಾನು ಹೊಸ ಕೋರ್ಸ್ ಆರಂಭಿಸಿದೆ	I started a new course
ಅವನು ಪದವಿ ಪಡೆದಿದ್ದಾನೆ	He has obtained a degree
ಈ ಪದವಿ ಕೆಲಸಕ್ಕೆ ಸಹಕಾರಿ	This degree is helpful for work
ವಿಶ್ವವಿದ್ಯಾಲಯ ದೊಡ್ಡದಾಗಿದೆ	The university is big
ನಾನು ವಿಶ್ವವಿದ್ಯಾಲಯಕ್ಕೆ ಹೋಗುತ್ತಿದ್ದೇನೆ	I am going to the university
ಅವನಿಗೆ ಸಂಗೀತದ ಕೌಶಲ್ಯವಿದೆ	He has a skill in music
ಕೌಶಲ್ಯ ಬೆಳೆಸಿಕೊಳ್ಳುವುದು ಮುಖ್ಯ	Developing skill is important
ಅವನಿಗೆ ಜ್ಞಾನ ಹೆಚ್ಚಾಗಿದೆ	His knowledge has increased
ಜ್ಞಾನದ ಹಸಿವು ಇರಲಿ	Let there be a hunger for knowledge
ದಿನನಿತ್ಯ ಅಭ್ಯಾಸ ಮಾಡಿ	Practice daily
ಅಭ್ಯಾಸದಿಂದ ಪರಿಪೂರ್ಣತೆ ಬರುತ್ತದೆ	Practice brings perfection
ನಿಮ್ಮ ಬರಹವನ್ನು ಸುಧಾರಿಸಿ	Improve your writing
ನಾನು ನನ್ನ ಓದನ್ನು ಸುಧಾರಿಸಿ	I improved my reading
ನನ್ನ ಗುರಿ ದೊಡ್ಡದಾಗಿದೆ	My goal is big
ನಿಮ್ಮ ಗುರಿ ಏನಾಗಿದೆ?	What is your goal?
ಈ ಪಾಠ ತುಂಬಾ ಸುಲಭ	This lesson is very easy
ಮುಂದಿನ ಪಾಠ ಓದಿ	Read the next lesson
ಮನೆಕೆಲಸ ಪೂರ್ಣಗೊಳಿಸಿ	Complete the homework
ನಿಮ್ಮ ಮನೆಕೆಲಸ ಎಲ್ಲಿಯಿದೆ?	Where is your homework?
ಪ್ರಬಂಧ ಚೆನ್ನಾಗಿದೆ	The essay is good
ಒಂದು ಪ್ರಬಂಧ ಬರೆಯಿರಿ	Write an essay
ಉಪನ್ಯಾಸ ಆರಂಭವಾಗಿದೆ	The lecture has started
ಉಪನ್ಯಾಸ ತುಂಬಾ ಚೆನ್ನಾಗಿತ್ತು	The lecture was very good
ಅವರು ಉತ್ತಮ ಪ್ರಾಧ್ಯಾಪಕ	They are a good professor
ಪ್ರಾಧ್ಯಾಪಕರು ತರಗತಿಗೆ ಬಂದರು	The professor came to the class
ಅವನು ಚುರುಕಾದ ವಿದ್ಯಾರ್ಥಿ	He is an active student
ನಾನು ಒಬ್ಬ ವಿದ್ಯಾರ್ಥಿ	I am a student
ಅವಳು ಪದವೀಧರಳು	She is a graduate
ಅವನು ವಿಜ್ಞಾನ ಪದವೀಧರ	He is a science graduate
ವಿದ್ಯಾರ್ಥಿವೇತನ ಸಿಕ್ಕಿದೆ	The scholarship was received
ವಿದ್ಯಾರ್ಥಿವೇತನಕ್ಕಾಗಿ ಅರ್ಜಿ ಸಲ್ಲಿಸಿ	Apply for the scholarship
ಸಂಶೋಧನೆ ನಡೆಯುತ್ತಿದೆ	Research is happening
ಸಂಶೋಧನೆ ತುಂಬಾ ಮುಖ್ಯ	Research is very important
ಅವರು ನನ್ನ ಬೋಧಕರು	They are my tutor
ಬೋಧಕರಿಗೆ ಧನ್ಯವಾದ ಹೇಳಿ	Say thank you to the tutor
ಕ್ಯಾಂಪಸ್ ತುಂಬಾ ಸುಂದರವಾಗಿದೆ	The campus is very beautiful
ಕ್ಯಾಂಪಸ್ ದೊಡ್ಡದಾಗಿದೆ	The campus is big
ಅವನು ಡಿಪ್ಲೊಮಾ ಮುಗಿಸಿದನು	He finished the diploma
ಡಿಪ್ಲೊಮಾ ಕೋರ್ಸ್ ಸುಲಭವಾಗಿದೆ	The diploma course is easy
ಶಿಕ್ಷಣ ಎಲ್ಲರಿಗೂ ಅಗತ್ಯ	Education is necessary for all
ಶಿಕ್ಷಣದ ಗುಣಮಟ್ಟ ಚೆನ್ನಾಗಿದೆ	The quality of education is good
ಹೊಸ ಭಾಷೆಯನ್ನು ಕಲಿಯಿರಿ	Learn a new language
ಇದನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಿ	Understand this
ಅವಳು ವಿಷಯವನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಿ	She understand the matter
ಸಣ್ಣದಾಗಿ ಕಂಠಪಾಠ ಮಾಡಿ	Memorize it shortly
ಕವಿತೆಯನ್ನು ಕಂಠಪಾಠ ಮಾಡಿ	Memorize the poem
ಅಧ್ಯಯನ ಮಾಡುವುದು ಒಳ್ಳೆಯದು	Studying is good
ನಿಮ್ಮ ಅಧ್ಯಯನ ಮುಂದುವರಿಸಿ	Continue your study
ನಮ್ಮ ಸಂಸ್ಕೃತಿ ತುಂಬಾ ಹಳೆಯದು	Our culture is very old
ಭಾರತದ ಸಂಸ್ಕೃತಿ ವೈವಿಧ್ಯಮಯವಾಗಿದೆ	India's culture is diverse
ನಮ್ಮ ಸಂಪ್ರದಾಯ ನಮಗೆ ಮುಖ್ಯ	Our tradition is important to us
ಈ ಸಂಪ್ರದಾಯ ಬಹಳ ವಿಶೇಷ	This tradition is very special
ಹಳೆಯ ಪದ್ಧತಿ ಈಗ ಬದಲಾಗಿದೆ	The old custom has changed now
ಇದು ಒಂದು ವಿಚಿತ್ರ ಪದ್ಧತಿ	This is a strange custom
ದೀಪಾವಳಿ ದೊಡ್ಡ ಹಬ್ಬ	Deepavali is a big festival
ಹಬ್ಬದ ತಯಾರಿ ಶುರುವಾಗಿದೆ	Festival preparations have started
ಪ್ರವಾಸಿ ಇಲ್ಲಿಗೆ ಬರುತ್ತಾರೆ	Tourists come here
ಅವನು ಒಬ್ಬ ಪ್ರವಾಸಿ	He is a tourist
ಮಾರ್ಗದರ್ಶಿ ದಾರಿಯನ್ನು ತೋರಿಸಿದನು	The guide showed the way
ನಮಗೆ ಒಬ್ಬ ಮಾರ್ಗದರ್ಶಿ ಬೇಕು	We need a guide
ನಮ್ಮ ಪ್ರಯಾಣ ಸುಖಕರವಾಗಿತ್ತು	Our journey was pleasant
ಪ್ರಯಾಣ ಶುರು ಮಾಡೋಣ	Let's start the journey
ಅವಳು ಸ್ಮರಣಿಕೆ ಖರೀದಿಸಿದಳು	She bought a souvenir
ಇದು ಒಂದು ಸುಂದರ ಸ್ಮರಣಿಕೆ	This is a beautiful souvenir
ಅವನು ವಿದೇಶದಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದಾನೆ	He lives abroad
ಅಮ್ಮ ವಿದೇಶದಲ್ಲಿ ಇದ್ದಾರೆ	Mother is abroad
ಸ್ಥಳೀಯ ಆಹಾರ ರುಚಿಯಾಗಿದೆ	Local food is tasty
ನಾನು ಸ್ಥಳೀಯ ಮಾರುಕಟ್ಟೆಗೆ ಹೋದೆ	I went to the local market
ಈ ಪ್ರವಾಸ ಚೆನ್ನಾಗಿದೆ	This trip is good
ನನ್ನ ಪ್ರವಾಸ ಮುಗಿಯಿತು	My trip ended
ನನಗೆ ಒಂದು ವಾರ ರಜೆ ಇದೆ	I have a week vacation
ಮುಂದಿನ ತಿಂಗಳು ರಜೆ ಇದೆ	Next month is vacation
ನಾಳೆ ರಜೆ ಇದೆ	Tomorrow is a holiday
ನಮಗೆ ಎರಡು ದಿನ ರಜೆ	We have two days holiday
ಈ ಹೋಟೆಲ್ ತುಂಬಾ ದೊಡ್ಡದು	This hotel is very big
ನನ್ನ ಪಾಸ್ಪೋರ್ಟ್ ಇಲ್ಲಿದೆ	My passport is here
ಪಾಸ್ಪೋರ್ಟ್ ಕಳೆದು ಹೋಯಿತು	The passport was lost
ವೀಸಾ ಸಿಕ್ಕಿದೆಯಾ?	Did you get the visa?
ವೀಸಾ ಪ್ರಕ್ರಿಯೆ ಕಠಿಣವಾಗಿದೆ	The visa process is difficult
ಸಾಮಾನು ಎಲ್ಲಿದೆ?	Where is the luggage?
ಸಾಮಾನು ತುಂಬಾ ಭಾರವಾಗಿದೆ	The luggage is very heavy
ಟಿಕೆಟ್ ಬುಕ್ ಮಾಡಿದೆನಾ?	Did I book the ticket?
ಟಿಕೆಟ್ ಬೆಲೆ ಎಷ್ಟು?	What is the ticket price?
ಇದು ನಗರದ ಹೆಗ್ಗುರುತು	This is the city's landmark
ಅಲ್ಲಿ ಒಂದು ದೊಡ್ಡ ಹೆಗ್ಗುರುತು ಇದೆ	There is a big landmark there
ದೇವಸ್ಥಾನ ಶಾಂತವಾಗಿದೆ	The temple is peaceful
ಅವಳು ದೇವಸ್ಥಾನಕ್ಕೆ ಹೋಯಾಳಳು	She went to the temple
ವಸ್ತುಸಂಗ್ರಹಾಲಯ ಇಂದು ರಜೆ	The museum is closed today
ವಸ್ತುಸಂಗ್ರಹಾಲಯದಲ್ಲಿ ಹಲವು ವಸ್ತುಗಳಿವೆ	There are many objects in the museum
ನನ್ನ ಗ್ರಾಮ ಚಿಕ್ಕದು	My village is small
ನಾನು ಗ್ರಾಮಕ್ಕೆ ಹೋಗುವೆ	I will go to the village
ಈ ನಗರ ದೊಡ್ಡದು	This city is big
ನಗರದಲ್ಲಿ ಜನಸಂದ್ರಹ ಹೆಚ್ಚು	The city has more crowds
ಅವನು ವಿದೇಶಿ ಪ್ರವಾಸಿ	He is a foreign tourist
ಇದು ವಿದೇಶಿ ಭಾಷೆ	This is a foreign language
ಹೊಸ ಜಾಗವನ್ನು ಅನ್ವೇಷಿಸಿ	Explore the new place
ಅವನು ಕಾಡನ್ನು ಅನ್ವೇಷಿಸಿ	He explored the forest
ನಾನು ಮೈಸೂರಿಗೆ ಭೇಟಿ ನೀಡಿದೆ	I visited Mysore
ನಾಳೆ ಭೇಟಿ ಮಾಡಿ	Visit tomorrow
ಅದು ಒಂದು ಹೊಸ ಅನುಭವ	That is a new experience
ಈ ಅನುಭವ ಅದ್ಭುತ	This experience is wonderful
ನಮ್ಮ ಪರಿಸರ ಶುಭ್ರವಾಗಿರಲಿ	Let our environment be clean
ಪರಿಸರ ಕಾಪಾಡುವುದು ಮುಖ್ಯ	Protecting the environment is important
ನಗರದಲ್ಲಿ ಮಾಲಿನ್ಯ ಹೆಚ್ಚಾಗಿದೆ	Pollution has increased in the city
ಮಾಲಿನ್ಯ ಕಡಿಮೆ ಮಾಡಿ	Reduce the pollution
ಹವಾಮಾನ ಬದಲಾಗುತ್ತಿದೆ	The climate is changing
ಇಂದಿನ ಹವಾಮಾನ ಚೆನ್ನಾಗಿದೆ	Today's climate is good
ಸೌರ ಶಕ್ತಿ ಉತ್ತಮವಾಗಿದೆ	Solar energy is good
ನಮಗೆ ಶಕ್ತಿ ಬೇಕು	We need energy
ಪ್ಲಾಸ್ಟಿಕ್ ಮರುಬಳಕೆ ಮಾಡಿ	Recycle the plastic
ಮರುಬಳಕೆ ಹೊಸ ಜೀವನ ನೀಡುತ್ತದೆ	Recycling gives a new life
ಕಾಡನ್ನು ರಕ್ಷಿಸು	Protect the forest
ನಮ್ಮನ್ನು ರಕ್ಷಿಸು	Protect us
ಪ್ರಕೃತಿ ತುಂಬಾ ಸುಂದರ	Nature is very beautiful
ನಾನು ಪ್ರಕೃತಿಯನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ	I love nature
ಭೂಮಿ ಒಂದು ಗ್ರಹ	Earth is a planet
ಬೇರೆ ಗ್ರಹದ ಬಗ್ಗೆ ತಿಳಿಸಿ	Tell me about the other planet
ನೀರು ವ್ಯರ್ಥ ಮಾಡಬೇಡಿ	Do not waste water
ಸಮಯವನ್ನು ವ್ಯರ್ಥ ಮಾಡಬೇಡಿ	Do not waste time
ನೀರು ಒಂದು ಸಂಪನ್ಮೂಲ	Water is a resource
ನಮ್ಮಲ್ಲಿ ಸಂಪನ್ಮೂಲ ಇದೆ	We have resources
ಪ್ಲಾಸ್ಟಿಕ್ ಬಳಕೆ ಕಡಿಮೆ ಮಾಡಿ	Reduce plastic use
ಪ್ಲಾಸ್ಟಿಕ್ ಕೆಟ್ಟದು	Plastic is bad
ದಟ್ಟವಾದ ಅರಣ್ಯ ಇಲ್ಲಿದೆ	There is a dense forest here
ಅರಣ್ಯವು ನಮಗೆ ಆಸರೆ	The forest is our shelter
ಸಾಗರವು ತುಂಬಾ ದೊಡ್ಡದು	The ocean is very big
ಸಾಗರದಲ್ಲಿ ಮೀನುಗಳಿವೆ	There are fish in the ocean
ಆ ಪರ್ವತ ತುಂಬಾ ಎತ್ತರ	That mountain is very high
ಪರ್ವತದ ಮೇಲೆ ಮಂಜಿದೆ	There is mist on the mountain
ನನಗೆ ನೀರು ಬೇಕು	I want water
ಮಣ್ಣು ಫಲವತ್ತಾಗಿದೆ	The soil is fertile
ಮಣ್ಣು ಕಪ್ಪಗಿದೆ	The soil is black
ಸಸ್ಯಗಳಿಗೆ ನೀರು ಹಾಕಿ	Water the plants
ಸಣ್ಣ ಸಸ್ಯ ಬೆಳೆಯುತ್ತಿದೆ	A small plant is growing
ಹಸಿರುಮನೆ ದೊಡ್ಡದಾಗಿದೆ	The greenhouse is large
ಹಸಿರುಮನೆಗೆ ಹೋಗೋಣ	Let's go to the greenhouse
ತಾಪಮಾನ ಹೆಚ್ಚಾಗಿದೆ	The temperature has increased
ಇಂದಿನ ತಾಪಮಾನ ಕಡಿಮೆ ಇದೆ	Today's temperature is low
ವನ್ಯಜೀವಿಗಳನ್ನು ಉಳಿಸಿ	Save the wildlife
ವನ್ಯಜೀವಿಗಳು ಕಾಡಿನಲ್ಲಿವೆ	Wildlife is in the forest
ಸೌರ ದೀಪ ಬೆಳಗು	Light the solar lamp
ಸೌರ ಶಕ್ತಿ ಉಚಿತ	Solar energy is free
ನವೀಕರಿಸಬಹುದಾದ ಶಕ್ತಿ ಬಳಸಿ	Use renewable energy
ಇದು ನವೀಕರಿಸಬಹುದಾದ ಸಂಪತ್ತು	This is a renewable resource
ಇಂಗಾಲ ಮಟ್ಟ ಹೆಚ್ಚಿದೆ	Carbon level has increased
ಇಂಗಾಲದ ಬಳಕೆ ಕಡಿಮೆ ಮಾಡಿ	Reduce carbon use
ಹೊರಸೂಸುವಿಕೆ ನಿಯಂತ್ರಿಸಿ	Control the emission
ಕಾರ್ಖಾನೆಯ ಹೊರಸೂಸುವಿಕೆ ಹೆಚ್ಚು	The factory's emission is high
ಪರಿಸರ ಸ್ನೇಹಿ ಬ್ಯಾಗ್ ಬಳಸಿ	Use eco-friendly bags
ಇದು ಪರಿಸರ ಸ್ನೇಹಿ ವಸ್ತು	This is an eco-friendly item
ನನ್ನ ಕಂಪ್ಯೂಟರ್ ಹೊಸದು	My computer is new
ಕಂಪ್ಯೂಟರ್ ಇಲ್ಲಿದೆ	The computer is here
ನನ್ನ ಲ್ಯಾಪ್ಟಾಪ್ ಚೆನ್ನಾಗಿದೆ	My laptop is good
ಲ್ಯಾಪ್ಟಾಪ್ ಮೇಜಿನ ಮೇಲೆ ಇದೆ	The laptop is on the table
ಇಂಟರ್ನೆಟ್ ವೇಗವಾಗಿದೆ	The internet is fast
ನನಗೆ ಇಂಟರ್ನೆಟ್ ಬೇಕು	I want internet
ಫೋನ್ ರಿಂಗ್ ಆಗುತ್ತಿದೆ	The phone is ringing
ನಿಮ್ಮ ಫೋನ್ ಎಲ್ಲಿದೆ?	Where is your phone?
ಇದು ಹೊಸ ಸ್ಮಾರ್ಟ್ಫೋನ್	This is a new smartphone
ಸ್ಮಾರ್ಟ್ಫೋನ್ ತುಂಬಾ ಉಪಯುಕ್ತ	Smartphone is very useful
ಈ ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್ಲೋಡ್ ಮಾಡಿ	Download this application
