#NAME?	#اسم؟
(1) (Japanese) maple	(1) (اليابانية) القيقب
alternative	بديل
alternatively	بدلا من ذلك
although	بالرغم من ذلك
altitude; height; advanced	الارتفاع؛ ارتفاع؛ متقدم
altogether	تماما
aluminium	الألومنيوم
always	دائما
always hitting the mark	دائما ضرب العلامة
always; constantly	دائما؛ باستمرار
always; usually; every time; never (with neg. verb)	دائما؛ عادة؛ في كل مرة؛ أبدا (مع الفعل السلبي)
amalgamate	دمج
amateur	الهاوي
amateur; novice	الهواة. مبتدئ
amazed	مندهش
amazing	مذهل
amazing / great	مذهل / عظيم
ambassador	سفير
ambiguous	غامض
ambition	الطموح
ambitious	طموح
ambulance	سيارة إسعاف
amend	تعديل
amendment	تعديل
amendment; correction; revision; modification	التعديل؛ تصحيح؛ مراجعة؛ تعديل
amid	وسط
among	بين
among them	بينهم
amount	المبلغ
amount of money	مبلغ من المال
amount sold; proceeds	المبلغ المباع؛ العائدات
amount; quantity	المبلغ؛ الكمية
amusement park	متنزه
amusing	مسلية
an address; a residence	عنوان؛ إقامة
an encounter	لقاء
an end; a stop; punctuation	نهاية؛ توقف؛ علامات الترقيم
an individual	فرد
an interest	مصلحة
analogy	تشبيه
analyse	تحليل
analysis	التحليل
analysis; disassembly	تحليل؛ التفكيك
analyst	محلل
analyze	تحليل
ancestor	سلف
anchor	مرساة
ancient	القديمة
ancient times	العصور القديمة
and	و
and (formal)	و (رسمي)
and (very formal)	و (رسمي جدا)
and Company; Messrs.	والشركة؛ السادة
and by extension	وبالتمديد
and so	وهكذا
and so on; and so forth; comment	وهكذا؛ وهكذا دواليك؛ تعليق
and then	وبعد ذلك
and; as well as	و؛ كذلك
angel	ملاك
anger	الغضب
angle	زاوية
angrily	بغضب
angry	غاضب
animal	حيوان
animal noise. to chirp; roar or croak etc.	ضجيج الحيوانات. غرد. هدير أو نعيق الخ
animation	الرسوم المتحركة
anime	أنيمي
ankle	الكاحل
anniversary	الذكرى السنوية
annotation; explanatory note	شرح؛ مذكرة توضيحية
announce	يعلن
announcement	إعلان
announcement / presentation	إعلان / عرض تقديمي
announcement; publication	إعلان؛ النشر
annoy	إزعاج
annoyed	منزعج
annoying	مزعج
annual	سنوي
annually	سنويا
anonymous	مجهول
another	آخر
another person; unrelated person; outsider; stranger	شخص آخر؛ شخص لا علاقة له؛ دخيل؛ غريب
another place; somewhere else; strange parts	مكان آخر؛ مكان آخر؛ أجزاء غريبة
another time; again; over again; anew; formally	مرة أخرى؛ مرة أخرى؛ مرة أخرى؛ من جديد؛ رسميا
answer	إجابة
answer; solution	الإجابة؛ الحل
answering machine	آلة الرد
ant	نملة
anthropology	الأنثروبولوجيا
anticipate	توقع
antiquity; ancient times	العصور القديمة. العصور القديمة
anxiety	القلق
anxiety; uneasiness; insecurity; suspense	القلق. عدم الارتياح. انعدام الأمن؛ تشويق
anxious	قلق
any	أي
any more	أي أكثر من ذلك
any unclear points	أي نقاط غير واضحة
any; anything; whatever	أي؛ أي شئ؛ أيا كان
anybody	أي شخص
anyhow; anyway	على أية حال؛ على أية حال
anyone	أي شخص
anything	أي شيء
anything of; not one bit	أي شيء من؛ ليس قليلا
anyway	على أية حال
anyway / in any case	على أية حال / على أية حال
anywhere	في أي مكان
apart	وبصرف النظر
apartment	شقة
apologize	اعتذر
apology	اعتذار
apology; excuse	اعتذار؛ عذر
app	التطبيق
apparatus	جهاز
apparent	واضح
apparently	على ما يبدو
appeal	نداء
appealing	جذابة
appear	تظهر
appearance	المظهر
appearance (e.g. article in paper)	المظهر (على سبيل المثال، مقالة في الورق)
appearance; exterior; facade	المظهر؛ الخارج؛ الواجهة
appetite	الشهية
appetite (for food)	شهية (للطعام)
applaud	نشيد
apple	تفاحة
applicable	قابل للتطبيق
applicant	مقدم الطلب
application	application
application (of rule)	تطبيق (القاعدة)
application form	نموذج الطلب
application; put to practical use	تطبيق؛ وضعت للاستخدام العملي
application; request; petition	تطبيق؛ طلب؛ عريضة
apply	تطبيق
applying	تطبيق
appoint	تعيين
appointed day; very day	يوم محدد؛ يوم جدا
appointment	موعد
appreciate	نقدر
appreciation	التقدير
approach	النهج
appropriate	مناسب
appropriately	بشكل مناسب
approval	موافقة
approval; adoption (e.g. motion; bill); passage	موافقة؛ التبني (مثل الاقتراح؛ مشروع القانون)؛ مرور
approval; agreement; support; favour	موافقة؛ اتفاق؛ يدعم؛ صالح
approve	الموافقة
approximately	تقريبا
approximately; about; some	تقريبا؛ عن؛ بعض
apron	ساحة
aquarium	حوض السمك
arable land	أرض صالحة للزراعة
arbitrary	تعسفي
arcade	ممر
architect	مهندس معماري
architectural	معماري
architecture	الهندسة المعمارية
archive	archive
arduous	شاقة
are you okay?	هل أنت بخير؟
area	المنطقة
area; locality; district; region; the coast	المنطقة؛ محلة؛ يصرف؛ منطقة؛ الساحل
area; region	المنطقة؛ المنطقة
area; zone	المنطقة؛ المنطقة
arena	الساحة
arguably	يمكن القول
argue	يجادل
argument	حجة
argument; discussion; dispute	حجة؛ مناقشة؛ نزاع
arise	تنشأ
arithmetic	الحساب
arm	ذراع
armaments; military preparations	التسلح. الاستعدادات العسكرية
armed	مسلح
arms	الأسلحة
army	جيش
army; force; troops	جيش؛ قوة؛ القوات
army; troops	جيش؛ القوات
aroma	رائحة
aroma; fragrance; scent; smell	رائحة. العطر. رائحة؛ رائحة
around	حولها
around (a time)	حول (الوقت)
around that time	في ذلك الوقت تقريبًا
around; throughout; front and back; before and behind; before and after	حول؛ طَوَال؛ الأمامي والخلفي. قبل وخلف؛ قبل وبعد
arrange	ترتيب
arrangement	الترتيب
arrangement; pact; agreement	الترتيب؛ ميثاق؛ اتفاق
array	صفيف
arrest	اعتقال
arrest; apprehension; capture	اعتقال؛ تخوف؛ التقاط
arrival	وصول
arrival in Japan; coming to Japan; visit to Japan	الوصول إلى اليابان؛ القدوم إلى اليابان؛ زيارة إلى اليابان
arrive	يصل
arrow	سهم
art	فن
art gallery	معرض فني
art museum	متحف الفن
art; technique	فن؛ تقنية
art; technology; skill	فن؛ تكنولوجيا؛ مهارة
article	مقالة
article counter	عداد المادة
article; news story; report; account	مقالة؛ قصة إخبارية؛ تقرير؛ حساب
articulate	واضح
artificial	الاصطناعي
artificial; manmade; human work; human skill; artificiality	اصطناعي. من صنع الإنسان؛ العمل البشري؛ المهارات البشرية؛ اصطناعية
artist	فنان
artistic	فني
artistry; good taste; elegance; grace	الفنية. ذوق جيد أناقة؛ نعمة
arts and crafts	الفنون والحرف
arts and sciences; liberal arts	الفنون والعلوم؛ الفنون الليبرالية
artwork	عمل فني
as	كما
as I thought	كما اعتقدت
as a matter of fact, ...	في واقع الأمر، ...
as a matter of fact; by the way	في واقع الأمر؛ بالمناسبة
as a result	نتيجة لذلك
as expected	كما هو متوقع
as much as possible	قدر الإمكان
as was expected; really	كما كان متوقعا؛ حقا
as ~ goes on	كما يستمر ~
ascertain	تأكد
ash	رماد
ashamed	يخجل
ashtray	منفضة سجائر
aside	جانبا
ask	اسأل
asleep	نائما
aspect	الجانب
aspect; state; appearance	الجانب؛ ولاية؛ المظهر
aspiration	الطموح
aspire	تطمح
assassination	اغتيال
assault	اعتداء
assemble	تجميع
assembly	التجميع
assembly hall or meeting place	قاعة التجمع أو مكان الاجتماع
assert	تأكيد
assertion	التأكيد
assess	تقييم
assessment	التقييم
asset	الأصول
assign	تعيين
assignment	مهمة
assist	مساعدة
assistance	المساعدة
assistance; aid; support	المساعدة؛ يساعد؛ الدعم
assistant	مساعد
assistant professor	أستاذ مساعد
associate	مشارك
associated	المرتبطة
association	جمعية
association (of ideas); suggestion	جمعية (الأفكار) ؛ اقتراح
association; socializing; fellowship	جمعية؛ التنشئة الاجتماعية. الزمالة
association; society; organization	جمعية؛ مجتمع؛ منظمة
association; union	جمعية؛ union
assume	نفترض
assumption	الافتراض
assumption; supposition; hypothesis	الافتراض؛ افتراض؛ فرضية
assurance	ضمان
assure	أؤكد
astonishing	مذهل
astronaut	رائد فضاء
astute	ذكي
asylum	اللجوء
at	في
at a stroke; with a single swoop	بسكتة دماغية بضربة واحدة
at about	في حوالي
at any rate; anyhow; anyway; in any case	على أية حال؛ على أية حال؛ على أي حال؛ في أي حال
at any time; soon	في أي وقت؛ قريبا
at ease; comfortable	في سهولة؛ مريح
at least	على الأقل
at most	على الأكثر
at night; nighttime	في الليل؛ ليلا
at once; immediately; directly; in person	مرة واحدة؛ في الحال؛ مباشرة؛ شخصيا
at once; immediately; without delay; promptly	مرة واحدة؛ في الحال؛ دون تأخير؛ على الفور
at present; now	في الوقت الحاضر؛ الآن
at that time; in those days	في ذلك الوقت؛ في تلك الأيام
at the expense of	على حساب
at the most; at best; to the utmost; as much (far) as possible	على الأكثر؛ في أحسن الأحوال؛ إلى أقصى الحدود؛ بقدر (أقصى) ممكن
at the very least	على أقل تقدير
at; in; on	في؛ في؛ على
athlete	رياضي
