#NAME?	#NAME?
(1) (Japanese) maple	(1) (ಜಪಾನೀಸ್) ಮೇಪಲ್
She was wearing a blue dress.	ನೀಲಿ ಬಣ್ಣದ ಉಡುಪನ್ನು ಧರಿಸಿದ್ದಳು.
She wasn't at the meeting.	ಅವಳು ಸಭೆಯಲ್ಲಿ ಇರಲಿಲ್ಲ.
She will be cooking dinner at six.	ಅವಳು ಆರು ಗಂಟೆಗೆ ಭೋಜನವನ್ನು ಬೇಯಿಸುತ್ತಾಳೆ.
She will be happy if we visit her.	ನಾವು ಅವಳನ್ನು ಭೇಟಿ ಮಾಡಿದರೆ ಅವಳು ಸಂತೋಷವಾಗಿರುತ್ತಾಳೆ.
She will be teaching at that school next year.	ಮುಂದಿನ ವರ್ಷ ಆ ಶಾಲೆಯಲ್ಲಿ ಪಾಠ ಮಾಡುತ್ತಾಳೆ.
She will have cooked dinner by seven.	ಅವಳು ಏಳು ಗಂಟೆಗೆ ಊಟವನ್ನು ಬೇಯಿಸುತ್ತಾಳೆ.
She will have finished her degree by then.	ಅಷ್ಟೊತ್ತಿಗಾಗಲೇ ಡಿಗ್ರಿ ಮುಗಿಸಿರುತ್ತಾಳೆ.
She will have learned enough by the exam.	ಪರೀಕ್ಷೆಯಲ್ಲಿ ಅವಳು ಸಾಕಷ್ಟು ಕಲಿತಿದ್ದಾಳೆ.
She will love this gift.	ಅವಳು ಈ ಉಡುಗೊರೆಯನ್ನು ಪ್ರೀತಿಸುತ್ತಾಳೆ.
She will pass the exam.	ಪರೀಕ್ಷೆಯಲ್ಲಿ ತೇರ್ಗಡೆಯಾಗುತ್ತಾಳೆ.
She works in a hospital.	ಅವಳು ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾಳೆ.
She would have passed if she had studied.	ಓದಿದ್ದರೆ ಪಾಸಾಗುತ್ತಿದ್ದಳು.
She would like to join us.	ಅವಳು ನಮ್ಮೊಂದಿಗೆ ಸೇರಲು ಬಯಸುತ್ತಾಳೆ.
She would never lie to me.	ಅವಳು ನನಗೆ ಎಂದಿಗೂ ಸುಳ್ಳು ಹೇಳುವುದಿಲ್ಲ.
She wrote a long email.	ಅವಳು ದೀರ್ಘವಾದ ಇಮೇಲ್ ಬರೆದಳು.
Shinkansen;	ಶಿಂಕನ್ಸೆನ್;
Shinto shrine	ಶಿಂಟೋ ದೇವಾಲಯ
Shitamachi; lower parts of town	ಶಿತಾಮಾಚಿ; ಪಟ್ಟಣದ ಕೆಳಗಿನ ಭಾಗಗಳು
Should I wear a jacket?	ನಾನು ಜಾಕೆಟ್ ಧರಿಸಬೇಕೇ?
Should we call him now?	ನಾವು ಈಗ ಅವನನ್ನು ಕರೆಯಬೇಕೇ?
Sign here, please.	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ಸಹಿ ಮಾಡಿ.
Since I returned it yesterday, it should be at the library.	ನಾನು ಅದನ್ನು ನಿನ್ನೆ ಹಿಂತಿರುಗಿಸಿದ್ದರಿಂದ, ಅದು ಲೈಬ್ರರಿಯಲ್ಲಿರಬೇಕು.
Sincerely yours	ಪ್ರಾಮಾಣಿಕವಾಗಿ ನಿಮ್ಮದು
Sit down.	ಕುಳಿತುಕೊಳ್ಳಿ.
Sleep is important for health.	ಆರೋಗ್ಯಕ್ಕೆ ನಿದ್ದೆ ಮುಖ್ಯ.
Some support the reform; others oppose it.	ಕೆಲವರು ಸುಧಾರಣೆಯನ್ನು ಬೆಂಬಲಿಸುತ್ತಾರೆ; ಇತರರು ಅದನ್ನು ವಿರೋಧಿಸುತ್ತಾರೆ.
Some water, please.	ಸ್ವಲ್ಪ ನೀರು, ದಯವಿಟ್ಟು.
Someone is hurt.	ಯಾರೋ ಗಾಯಗೊಂಡಿದ್ದಾರೆ.
Soon you will be speaking English fluently.	ಶೀಘ್ರದಲ್ಲೇ ನೀವು ಇಂಗ್ಲಿಷ್ ಅನ್ನು ನಿರರ್ಗಳವಾಗಿ ಮಾತನಾಡುತ್ತೀರಿ.
Sorry, I didn't catch that.	ಕ್ಷಮಿಸಿ, ನನಗೆ ಅದು ಅರ್ಥವಾಗಲಿಲ್ಲ.
Sorry, I'm busy then.	ಕ್ಷಮಿಸಿ, ನಾನು ಕಾರ್ಯನಿರತನಾಗಿದ್ದೇನೆ.
Sorry, I'm busy.	ಕ್ಷಮಿಸಿ, ನಾನು ಕಾರ್ಯನಿರತನಾಗಿದ್ದೇನೆ.
South America	ದಕ್ಷಿಣ ಅಮೇರಿಕಾ
Speaking. Who's calling?	ಮಾತನಾಡುತ್ತಾ. ಯಾರು ಕರೆ ಮಾಡುತ್ತಿದ್ದಾರೆ?
Sports Day	ಕ್ರೀಡಾ ದಿನ
Spring is beautiful.	ವಸಂತವು ಸುಂದರವಾಗಿರುತ್ತದೆ.
St. Valentine's Day	ಸೇಂಟ್ ವ್ಯಾಲೆಂಟೈನ್ಸ್ ಡೇ
Stairs, please (to the stairs).	ಮೆಟ್ಟಿಲುಗಳು, ದಯವಿಟ್ಟು (ಮೆಟ್ಟಿಲುಗಳಿಗೆ).
Starting with this film, we'll release international works one after another.	ಈ ಚಿತ್ರದಿಂದ ಪ್ರಾರಂಭಿಸಿ, ನಾವು ಒಂದರ ನಂತರ ಒಂದರಂತೆ ಅಂತರರಾಷ್ಟ್ರೀಯ ಕೃತಿಗಳನ್ನು ಬಿಡುಗಡೆ ಮಾಡುತ್ತೇವೆ.
Students must do their homework.	ವಿದ್ಯಾರ್ಥಿಗಳು ತಮ್ಮ ಮನೆಕೆಲಸವನ್ನು ಮಾಡಬೇಕು.
Students should do their homework.	ವಿದ್ಯಾರ್ಥಿಗಳು ತಮ್ಮ ಮನೆಕೆಲಸವನ್ನು ಮಾಡಬೇಕು.
Such was her success that she retired early.	ಆಕೆಯ ಯಶಸ್ಸಿನೆಂದರೆ ಅವಳು ಬೇಗನೆ ನಿವೃತ್ತಳಾದಳು.
Summer is hotter than winter.	ಚಳಿಗಾಲಕ್ಕಿಂತ ಬೇಸಿಗೆ ಬಿಸಿಯಾಗಿರುತ್ತದೆ.
Summer is my favorite season.	ಬೇಸಿಗೆ ನನ್ನ ನೆಚ್ಚಿನ ಸೀಸನ್.
Sun	ಸೂರ್ಯ
Sunday	ಭಾನುವಾರ
Sunday (short)	ಭಾನುವಾರ (ಸಣ್ಣ)
Sunday lunch is a family tradition.	ಭಾನುವಾರದ ಊಟವು ಕುಟುಂಬದ ಸಂಪ್ರದಾಯವಾಗಿದೆ.
Suppose you were the president, what would you do?	ನೀವು ಅಧ್ಯಕ್ಷರಾಗಿದ್ದರೆ, ನೀವು ಏನು ಮಾಡುತ್ತೀರಿ?
Surprisingly, he was actually Japanese.	ಆಶ್ಚರ್ಯಕರವಾಗಿ, ಅವರು ವಾಸ್ತವವಾಗಿ ಜಪಾನೀಸ್ ಆಗಿದ್ದರು.
Sushi is Japanese food.	ಸುಶಿ ಜಪಾನೀಸ್ ಆಹಾರವಾಗಿದೆ.
Sweden	ಸ್ವೀಡನ್
T-shirt	ಟಿ ಶರ್ಟ್
TV	ಟಿ.ವಿ
Take an umbrella with you.	ನಿಮ್ಮೊಂದಿಗೆ ಛತ್ರಿ ತೆಗೆದುಕೊಳ್ಳಿ.
Take any seat you like.	ನೀವು ಇಷ್ಟಪಡುವ ಯಾವುದೇ ಆಸನವನ್ನು ತೆಗೆದುಕೊಳ್ಳಿ.
Take care of yourself	ನಿಮ್ಮನ್ನು ನೋಡಿಕೊಳ್ಳಿ
Take care of yourself.	ನಿಮ್ಮನ್ನು ನೋಡಿಕೊಳ್ಳಿ.
Take care!	ಕಾಳಜಿ ವಹಿಸಿ!
Take this medicine twice a day.	ಈ ಔಷಧಿಯನ್ನು ದಿನಕ್ಕೆ ಎರಡು ಬಾರಿ ತೆಗೆದುಕೊಳ್ಳಿ.
Takeshi's book	ತಕೇಶಿ ಅವರ ಪುಸ್ತಕ
Tea time is my favorite.	ಚಹಾ ಸಮಯ ನನ್ನ ನೆಚ್ಚಿನದು.
Ten envelopes, please.	ದಯವಿಟ್ಟು ಹತ್ತು ಲಕೋಟೆಗಳು.
Thank God you're safe.	ನೀವು ಸುರಕ್ಷಿತವಾಗಿರಲು ದೇವರಿಗೆ ಧನ್ಯವಾದಗಳು.
Thank you	ಧನ್ಯವಾದಗಳು
Thank you (in advance)	ಧನ್ಯವಾದಗಳು (ಮುಂಚಿತವಾಗಿ)
Thank you (polite)	ಧನ್ಯವಾದಗಳು (ಸಭ್ಯ)
Thank you for helping me.	ನನಗೆ ಸಹಾಯ ಮಾಡಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು.
Thank you for the gift.	ಉಡುಗೊರೆಗಾಗಿ ಧನ್ಯವಾದಗಳು.
Thank you for the meal.	ಊಟಕ್ಕೆ ಧನ್ಯವಾದಗಳು.
Thank you for the ride.	ಸವಾರಿಗಾಗಿ ಧನ್ಯವಾದಗಳು.
Thank you very much for your....	ತುಂಬಾ ಧನ್ಯವಾದಗಳು ನಿಮ್ಮ....
Thank you very much.	ತುಂಬಾ ಧನ್ಯವಾದಗಳು.
Thank you very much. (past tense)	ತುಂಬಾ ಧನ್ಯವಾದಗಳು. (ಭೂತಕಾಲ)
Thank you.	ಧನ್ಯವಾದಗಳು.
Thanks for the meal (after eating)	ಊಟಕ್ಕೆ ಧನ್ಯವಾದಗಳು (ತಿಂದ ನಂತರ)
Thanks for the meal (after eating) (polite)	ಊಟಕ್ಕೆ ಧನ್ಯವಾದಗಳು (ತಿಂದ ನಂತರ) (ಸಭ್ಯ)
Thanks for the meal (before eating)	ಊಟಕ್ಕೆ ಧನ್ಯವಾದಗಳು (ತಿನ್ನುವ ಮೊದಲು)
Thanks for the meal.	ಊಟಕ್ಕೆ ಧನ್ಯವಾದಗಳು.
Thanks for your help today.	ಇಂದು ನಿಮ್ಮ ಸಹಾಯಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು.
Thanks for your help.	ನಿಮ್ಮ ಸಹಾಯಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು.
Thanks to god; thanks to you	ದೇವರಿಗೆ ಧನ್ಯವಾದಗಳು; ನಿಮಗೆ ಧನ್ಯವಾದಗಳು
That (over there) is a phone.	ಅದು (ಅಲ್ಲಿ) ಫೋನ್ ಆಗಿದೆ.
That book is red.	ಆ ಪುಸ್ತಕ ಕೆಂಪು.
That book was not expensive.	ಆ ಪುಸ್ತಕ ದುಬಾರಿಯಾಗಿರಲಿಲ್ಲ.
That cake looks delicious.	ಆ ಕೇಕ್ ರುಚಿಕರವಾಗಿ ಕಾಣುತ್ತದೆ.
That helped a lot.	ಅದು ತುಂಬಾ ಸಹಾಯ ಮಾಡಿದೆ.
That is a book.	ಅದೊಂದು ಪುಸ್ತಕ.
That is my friend's bag.	ಅದು ನನ್ನ ಗೆಳೆಯನ ಚೀಲ.
That is your bag.	ಅದು ನಿಮ್ಮ ಚೀಲ.
That person is French.	ಆ ವ್ಯಕ್ತಿ ಫ್ರೆಂಚ್.
That person is not Indian.	ಆ ವ್ಯಕ್ತಿ ಭಾರತೀಯನಲ್ಲ.
That restaurant is delicious.	ಆ ರೆಸ್ಟೋರೆಂಟ್ ರುಚಿಕರವಾಗಿದೆ.
That someone like a teacher would make a kanji mistake…	ಶಿಕ್ಷಕರಂತಹವರು ಕಂಜಿ ತಪ್ಪು ಮಾಡುತ್ತಾರೆ ಎಂದು...
That sounds fun!	ಅದು ಮೋಜಿನ ಧ್ವನಿ!
That sounds good.	ಅದು ಚೆನ್ನಾಗಿದೆ.
That sounds great!	ಅದು ಉತ್ತಮವಾಗಿದೆ!
That surprised me!	ಅದು ನನಗೆ ಆಶ್ಚರ್ಯವಾಯಿತು!
That teacher is not only good at teaching but also kind.	ಆ ಶಿಕ್ಷಕಿ ಬೋಧನೆಯಲ್ಲಿ ಮಾತ್ರವಲ್ಲ ಕರುಣಾಮಯಿಯೂ ಹೌದು.
That test was difficult.	ಆ ಪರೀಕ್ಷೆ ಕಷ್ಟಕರವಾಗಿತ್ತು.
That was fun!	ಅದು ಖುಷಿಯಾಗಿತ್ತು!
That was fun.	ಅದು ಮಜವಾಗಿತ್ತು.
That was the worst meal I've had.	ಅದು ನಾನು ಸೇವಿಸಿದ ಕೆಟ್ಟ ಊಟವಾಗಿತ್ತು.
That would be fine.; That wouldn't be necessary.	ಅದು ಚೆನ್ನಾಗಿರುತ್ತದೆ.; ಅದು ಅಗತ್ಯವಿರುವುದಿಲ್ಲ.
That would be wonderful.	ಅದು ಅದ್ಭುತವಾಗಿರುತ್ತದೆ.
That'll be 12 dollars. Cash or card?	ಅದು 12 ಡಾಲರ್ ಆಗಿರುತ್ತದೆ. ನಗದು ಅಥವಾ ಕಾರ್ಡ್?
That'll be 5000 yen per night. How many nights?	ಅದು ಪ್ರತಿ ರಾತ್ರಿ 5000 ಯೆನ್ ಆಗಿರುತ್ತದೆ. ಎಷ್ಟು ರಾತ್ರಿಗಳು?
That's 15 dollars, please. Cash or card?	ಅದು 15 ಡಾಲರ್, ದಯವಿಟ್ಟು. ನಗದು ಅಥವಾ ಕಾರ್ಡ್?
That's 25 dollars.	ಅದು 25 ಡಾಲರ್.
That's 8 dollars, whenever you're ready.	ನೀವು ಸಿದ್ಧರಾಗಿರುವಾಗ ಅದು 8 ಡಾಲರ್‌ಗಳು.
That's a good deal.	ಅದು ಒಳ್ಳೆಯ ವ್ಯವಹಾರ.
That's cheap.	ಅದು ಅಗ್ಗವಾಗಿದೆ.
That's expensive.	ಅದು ದುಬಾರಿ.
That's great news!	ಅದೊಂದು ದೊಡ್ಡ ಸುದ್ದಿ!
That's nice, isn't it.	ಅದು ಚೆನ್ನಾಗಿದೆ, ಅಲ್ಲವೇ.
That's really funny!	ಅದು ನಿಜವಾಗಿಯೂ ತಮಾಷೆಯಾಗಿದೆ!
That's right.	ಅದು ಸರಿ.
That's right.; Let me see.	ಅದು ಸರಿ.; ನಾನು ನೋಡೋಣ.
That's too bad.	ಅದು ತುಂಬಾ ಕೆಟ್ಟದು.
That's too expensive.	ಅದು ತುಂಬಾ ದುಬಾರಿ.
That's very kind of you.	ಅದು ನೀವು ತುಂಬಾ ಕರುಣಾಮಯಿ.
The Nile is the longest river.	ನೈಲ್ ಅತಿ ಉದ್ದದ ನದಿ.
The ambulance is coming.	ಆಂಬ್ಯುಲೆನ್ಸ್ ಬರುತ್ತಿದೆ.
The assignment is due next week.	ಮುಂದಿನ ವಾರ ನಿಯೋಜನೆ ಬರಲಿದೆ.
The baby is crying.	ಮಗು ಅಳುತ್ತಿದೆ.
The baby sleeps at night.	ಮಗು ರಾತ್ರಿಯಲ್ಲಿ ನಿದ್ರಿಸುತ್ತದೆ.
The ball is under the chair.	ಚೆಂಡು ಕುರ್ಚಿಯ ಕೆಳಗೆ ಇದೆ.
The ball rolled under the sofa.	ಚೆಂಡು ಸೋಫಾದ ಕೆಳಗೆ ಉರುಳಿತು.
The balloons are beautiful.	ಆಕಾಶಬುಟ್ಟಿಗಳು ಸುಂದರವಾಗಿವೆ.
The bank closes at 5.	5ಕ್ಕೆ ಬ್ಯಾಂಕ್ ಮುಚ್ಚುತ್ತದೆ.
The bank is between the shop and the cafe.	ಅಂಗಡಿ ಮತ್ತು ಕೆಫೆ ನಡುವೆ ಬ್ಯಾಂಕ್ ಇದೆ.
The bank is next to the station.	ಬ್ಯಾಂಕ್ ನಿಲ್ದಾಣದ ಪಕ್ಕದಲ್ಲಿದೆ.
The bill, please.	ಬಿಲ್, ದಯವಿಟ್ಟು.
The bird flew over the house.	ಹಕ್ಕಿ ಮನೆಯ ಮೇಲೆ ಹಾರಿತು.
The birds are above the trees.	ಪಕ್ಷಿಗಳು ಮರಗಳ ಮೇಲಿವೆ.
The book is on the table.	ಪುಸ್ತಕ ಮೇಜಿನ ಮೇಲಿದೆ.
The book was written in 1950.	ಪುಸ್ತಕವನ್ನು 1950 ರಲ್ಲಿ ಬರೆಯಲಾಗಿದೆ.
The books written in the 19th century are rare.	19ನೇ ಶತಮಾನದಲ್ಲಿ ಬರೆದ ಪುಸ್ತಕಗಳು ಅಪರೂಪ.
The box is behind the door.	ಪೆಟ್ಟಿಗೆಯು ಬಾಗಿಲಿನ ಹಿಂದೆ ಇದೆ.
The bridge damaged in the storm has been repaired.	ಚಂಡಮಾರುತದಿಂದ ಹಾನಿಗೊಳಗಾದ ಸೇತುವೆಯನ್ನು ದುರಸ್ತಿ ಮಾಡಲಾಗಿದೆ.
The bridge was damaged by the flood.	ಪ್ರವಾಹದಿಂದ ಸೇತುವೆ ಹಾಳಾಗಿದೆ.
The bus goes through the city center.	ಬಸ್ ನಗರ ಕೇಂದ್ರದ ಮೂಲಕ ಹೋಗುತ್ತದೆ.
The bus is coming.	ಬಸ್ಸು ಬರುತ್ತಿದೆ.
The bus is late again.	ಬಸ್ಸು ಮತ್ತೆ ತಡವಾಯಿತು.
The bus was late again.	ಬಸ್ಸು ಮತ್ತೆ ತಡವಾಯಿತು.
The cake was made by my sister.	ಕೇಕ್ ಅನ್ನು ನನ್ನ ಸಹೋದರಿ ಮಾಡಿದ್ದಾಳೆ.
The cat is on the sofa.	ಬೆಕ್ಕು ಸೋಫಾದಲ್ಲಿದೆ.
The cat is under the bed.	ಬೆಕ್ಕು ಹಾಸಿಗೆಯ ಕೆಳಗೆ ಇದೆ.
The cat is under the table.	ಬೆಕ್ಕು ಮೇಜಿನ ಕೆಳಗೆ ಇದೆ.
The cat jumped onto the table.	ಬೆಕ್ಕು ಮೇಜಿನ ಮೇಲೆ ಹಾರಿತು.
The children are doing homework.	ಮಕ್ಕಳು ಮನೆಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.
The children are in the garden.	ಮಕ್ಕಳು ತೋಟದಲ್ಲಿದ್ದಾರೆ.
The children are playing in the park.	ಪಾರ್ಕ್‌ನಲ್ಲಿ ಮಕ್ಕಳು ಆಟವಾಡುತ್ತಿದ್ದಾರೆ.
The children were laughing loudly.	ಮಕ್ಕಳು ಜೋರಾಗಿ ನಗುತ್ತಿದ್ದರು.
The city is noisier than the village.	ನಗರವು ಹಳ್ಳಿಗಿಂತ ಗದ್ದಲವಾಗಿದೆ.
The city of Tokyo is big.	ಟೋಕಿಯೋ ನಗರವು ದೊಡ್ಡದಾಗಿದೆ.
The class starts on Monday.	ಸೋಮವಾರದಿಂದ ತರಗತಿ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ.
The coffee machine is broken.	ಕಾಫಿ ಯಂತ್ರ ಕೆಟ್ಟು ಹೋಗಿದೆ.
The committee recommends that the policy be revised.	ನೀತಿಯನ್ನು ಪರಿಷ್ಕರಿಸಬೇಕು ಎಂದು ಸಮಿತಿ ಶಿಫಾರಸು ಮಾಡಿದೆ.
The cup is near the window.	ಕಪ್ ಕಿಟಕಿಯ ಬಳಿ ಇದೆ.
The deadline is Friday.	ಗಡುವು ಶುಕ್ರವಾರ.
The deadline is next Monday.	ಮುಂದಿನ ಸೋಮವಾರ ಗಡುವು.
The decorations are pretty.	ಅಲಂಕಾರಗಳು ಸುಂದರವಾಗಿವೆ.
The discovery of penicillin transformed medicine.	ಪೆನ್ಸಿಲಿನ್‌ನ ಆವಿಷ್ಕಾರವು ಔಷಧವನ್ನು ಪರಿವರ್ತಿಸಿತು.
The doctor checked me.	ವೈದ್ಯರು ನನ್ನನ್ನು ಪರೀಕ್ಷಿಸಿದರು.
The doctor recommended that she rest.	ವೈದ್ಯರು ಆಕೆಗೆ ವಿಶ್ರಾಂತಿ ನೀಡುವಂತೆ ಸೂಚಿಸಿದ್ದಾರೆ.
The dog has four legs.	ನಾಯಿಗೆ ನಾಲ್ಕು ಕಾಲುಗಳಿವೆ.
The dog is black.	ನಾಯಿ ಕಪ್ಪು.
The dog is in the garden.	ನಾಯಿ ತೋಟದಲ್ಲಿದೆ.
The dog jumped over the fence.	ನಾಯಿ ಬೇಲಿ ಮೇಲೆ ಹಾರಿತು.
The dog was barking all night.	ರಾತ್ರಿಯಿಡೀ ನಾಯಿ ಬೊಗಳುತ್ತಿತ್ತು.
The fare rises according to distance.	ದೂರಕ್ಕೆ ಅನುಗುಣವಾಗಿ ದರ ಏರುತ್ತದೆ.
The fireworks were amazing.	ಪಟಾಕಿಗಳು ಅದ್ಭುತವಾಗಿದ್ದವು.
The first plan failed and the second succeeded.	ಮೊದಲ ಯೋಜನೆ ವಿಫಲವಾಯಿತು ಮತ್ತು ಎರಡನೆಯದು ಯಶಸ್ವಿಯಾಯಿತು.
The floor was mopped by the cleaner.	ಕ್ಲೀನರ್‌ನಿಂದ ನೆಲವನ್ನು ಒರೆಸಲಾಯಿತು.
The flower bloomed.	ಹೂವು ಅರಳಿತು.
The flowers bloom in spring.	ವಸಂತಕಾಲದಲ್ಲಿ ಹೂವುಗಳು ಅರಳುತ್ತವೆ.
The food at this place is great.	ಈ ಸ್ಥಳದಲ್ಲಿ ಆಹಾರವು ಅದ್ಭುತವಾಗಿದೆ.
The food is cooked by my mother.	ನನ್ನ ತಾಯಿ ಅಡುಗೆ ಮಾಡುತ್ತಾರೆ.
The food is delicious.	ಆಹಾರ ರುಚಿಕರವಾಗಿದೆ.
The guests had arrived before midnight.	ಅತಿಥಿಗಳು ಮಧ್ಯರಾತ್ರಿಯ ಮೊದಲು ಬಂದರು.
The house was cleaned yesterday.	ನಿನ್ನೆ ಮನೆಯನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸಲಾಗಿದೆ.
The implementation of the plan was delayed.	ಯೋಜನೆ ಅನುಷ್ಠಾನ ವಿಳಂಬವಾಯಿತು.
The key was found.	ಕೀ ಸಿಕ್ಕಿತು.
The keys are in my bag.	ಕೀಲಿಗಳು ನನ್ನ ಚೀಲದಲ್ಲಿವೆ.
The keys are on the table.	ಕೀಲಿಗಳು ಮೇಜಿನ ಮೇಲಿವೆ.
The kids have been playing outside all day.	ಮಕ್ಕಳು ದಿನವಿಡೀ ಹೊರಗೆ ಆಟವಾಡುತ್ತಿದ್ದರು.
The lamp is on the desk.	ದೀಪವು ಮೇಜಿನ ಮೇಲಿರುತ್ತದೆ.
The laundry basket is full.	ಲಾಂಡ್ರಿ ಬುಟ್ಟಿ ತುಂಬಿದೆ.
The letter was written by her.	ಪತ್ರ ಬರೆದದ್ದು ಅವಳೇ.
The letters are delivered every morning.	ಪತ್ರಗಳನ್ನು ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ತಲುಪಿಸಲಾಗುತ್ತದೆ.
The light doesn't work.	ಬೆಳಕು ಕೆಲಸ ಮಾಡುವುದಿಲ್ಲ.
The light is on.	ಲೈಟ್ ಆನ್ ಆಗಿದೆ.
The light isn't working.	ಬೆಳಕು ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ.
The line is busy.	ಸಾಲು ಕಾರ್ಯನಿರತವಾಗಿದೆ.
The local food is amazing.	ಸ್ಥಳೀಯ ಆಹಾರ ಅದ್ಭುತವಾಗಿದೆ.
The man sitting there is my uncle.	ಅಲ್ಲಿ ಕುಳಿತಿರುವ ವ್ಯಕ್ತಿ ನನ್ನ ಚಿಕ್ಕಪ್ಪ.
The man was very kind.	ಮನುಷ್ಯನು ತುಂಬಾ ಕರುಣಾಮಯಿಯಾಗಿದ್ದನು.
The man who lives next door is a doctor.	ಪಕ್ಕದ ಮನೆಯವರು ವೈದ್ಯ.
The manager is out today.	ಮ್ಯಾನೇಜರ್ ಇಂದು ಹೊರಗಿದ್ದಾರೆ.
The medicine isn't working.	ಔಷಧಿ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ.
The meeting is at 3 pm.	ಸಭೆ ಮಧ್ಯಾಹ್ನ 3 ಗಂಟೆಗೆ.
The meeting is at noon.	ಸಭೆಯು ಮಧ್ಯಾಹ್ನ.
